BANK_ID,ASSETS,COST,P_LABOR_w1,P_FUNDS_w2,P_DEPOSI_w3,CON_LOAN_y1,NONC_LOA_y2,SECURITI_y3,t,POLICY
3506,509491.3672,21274.50179,35.92864129,0.006144022,0.031324108,4166.79136,365801.5968,136500.451,56,4
3506,516632.4665,5997.477262,9.674685674,0.004794266,0.008433447,4695.793556,365287.2263,143739.8008,57,4
3506,545973.6463,12243.29424,18.29610691,0.009484215,0.016620565,5983.602303,384276.9161,152875.3819,58,4
3506,535624.6875,19074.81428,28.26868736,0.01411374,0.027055789,5933.616851,382400.5029,143905.5853,59,4
3506,541368.5398,25733.98249,36.25606956,0.02011927,0.03619606,6411.521501,388198.0084,143398.5514,60,4
3506,558322.4912,6828.20351,9.983005472,0.00314052,0.009244294,4245.182086,394461.6767,156518.3823,61,4
3506,563907.7495,13222.27973,19.25394462,0.004825569,0.01777759,3979.312252,402043.0656,154841.3886,62,4
3506,561282.9815,19305.3406,29.46113235,0.00654697,0.025866786,3788.452652,405685.325,149520.7793,63,4
3506,572239.2893,25058.15746,39.98721868,0.008665979,0.032238502,3426.078871,397528.5726,168894.8633,64,4
3506,593163.0436,5488.317358,9.531928893,0.000761707,0.006177569,3142.465493,409944.6585,177360.9724,65,4
3506,619976.3583,10890.46059,19.19847598,0.001206335,0.011660859,2862.126706,423059.3021,191331.1162,66,4
3506,627750.6323,16235.91151,31.47544052,0.002374856,0.017156326,2578.059339,423239.3608,199557.6074,67,4
3506,634786.1663,21320.84575,38.94508718,0.004048692,0.021383772,2241.302301,415187.3532,215171.1224,68,4
3506,648769.7613,4926.131971,10.22818644,0.001306989,0.004273195,1929.081635,406934.4815,237687.3836,69,4
3506,881139.8525,10200.72598,17.1113653,0.002289854,0.006312174,4581.425829,536244.4733,332989.7179,70,4
3506,903036.2528,15580.80863,26.23481599,0.003046749,0.009058218,2945.283196,520569.6196,372124.4073,71,4
3506,923122.7819,20708.05633,35.4115057,0.00256295,0.011982016,2578.453135,526925.7429,386504.7406,72,4
3506,909883.8906,5317.867446,10.33790014,0.000896842,0.00268805,2279.650947,545578.6658,355051.516,73,4
3506,918195.7558,10351.49992,19.99133601,0.001236385,0.00522204,2240.635329,575740.0065,333545.4982,74,4
3506,949081.3899,15807.06904,29.69721846,0.001656693,0.007714533,2504.295912,599639.8877,341688.9659,75,4
3506,944462.7888,21496.23344,38.4939693,0.001731291,0.010942731,2235.510269,600121.3454,337001.7222,76,4
3506,951841.1166,6108.98441,9.712637572,0.000970414,0.003600847,2081.911214,622292.7194,322544.1526,77,4
3506,969677.8001,12733.93512,19.16964098,0.00267964,0.007763761,2563.159771,644723.2094,317696.6412,78,4
3506,975735.4843,19868.56987,29.11520089,0.004169549,0.01247974,2480.428268,657122.3988,312271.8385,79,4
3506,1021022.194,26676.14242,37.43325237,0.003169579,0.01794536,2053.306386,690575.8378,324113.0409,80,4
5247,114026,1782,5.06122449,0.002119632,0.016400146,8384,49909,54469,1,2
5247,100070.56,3658.324376,9.31448614,0.010655817,0.033626937,8945.116042,52629.87159,37255.54677,2,2
5247,105532.6628,5518.534005,13.56923631,0.018336244,0.047449314,8616.571341,55086.13937,40630.61582,3,2
5247,107810.0573,7283.55679,16.78774422,0.032319755,0.060584483,8757.433783,58570.33274,39319.17099,4,2
5247,112647.9151,1727.680691,4.280973111,0.005907661,0.014045394,7467.02811,63156.32747,40401.67583,5,2
5247,109864.4866,3517.998526,9.477907819,0.018383426,0.02732817,8548.853166,62527.17015,37093.67528,6,2
